"","Name","Address","ZIP","Type"
"263","BETA ACADEMY","9701 ALMEDA GENOA RD HOUSTON TX 77075","77075","Elementary School"
"264","A+ UNLIMITED POTENTIAL - UNIVERSITY","2410 HAMILTON HOUSTON TX 77004","77004","Middle School"
"265","ETOILE ACADEMY CHARTER SCHOOL","6648 HORNWOOD DR HOUSTON TX 77074","77074","Elementary-Middle School"
"266","ETOILE ACADEMY CHARTER SCHOOL-BISSONNET","9745 BISSONNET ST HOUSTON TX 77036","77036","Elementary-Middle School"
"267","YELLOWSTONE COLLEGE PREPARATORY","3000 TRULLEY ST STE 200 HOUSTON TX 77004","77004","Middle School"
"268","LEGACY SCHOOL OF SPORT SCIENCES","2727 SPRING CREEK DR SPRING TX 77373","77373","Middle-High School"
"269","BLOOM ACADEMY CHARTER SCHOOL","3420 ALMEDA GENOA RD HOUSTON TX 77047","77047","Elementary School"
"270","REVE PREPARATORY CHARTER SCHOOL","12707 CULLEN BLVD HOUSTON TX 77047","77047","Elementary-Middle School"
"271","ELEVATE COLLEGIATE","2410 HAMILTON HOUSTON TX 77004","77004","Elementary School"
"272","HOUSTON CLASSICAL","6403 ADDICKS CLODINE RD HOUSTON TX 77083","77083","Elementary-Middle School"
"273","HERITAGE CLASSICAL ACADEMY SCHOOL","602 SAWYER STREET STE 720 HOUSTON TX 77007","77007","Elementary-Middle School"
"274","NEXTGEN INNOVATION ACADEMY","11150 S WILCREST DRIVE STE 185 HOUSTON TX 77099","77099","Middle-High School"
"275","UP EXCELLENCE ACADEMY","6220 WESTPARK DR STE 195 HOUSTON TX 77057","77057","Elementary-Middle School"
"276","ALDINE H S","11101 AIRLINE DR HOUSTON TX 77037","77037","High School"
"277","CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS","2100 S VICTORY DR HOUSTON TX 77088","77088","High School"
"278","MACARTHUR H S","4400 ALDINE MAIL RT HOUSTON TX 77039","77039","High School"
"279","EISENHOWER H S","7922 ANTOINE DR HOUSTON TX 77088","77088","High School"
"280","NIMITZ H S","2005 W W THORNE DR HOUSTON TX 77073","77073","High School"
"281","VICTORY EARLY COLLEGE H S","4141 S VICTORY ST HOUSTON TX 77088","77088","High School"
"282","DAVIS H S ALDINE","12525 ELLA BLVD HOUSTON TX 77067","77067","High School"
"283","HALL SUCCESS ACADEMY","15014 ALDINE WESTFIELD HOUSTON TX 77032","77032","Middle-High School"
"284","BLANSON CTE H S","311 W RD HOUSTON TX 77038","77038","High School"
"285","AVALOS P-TECH SCHOOL","2430 ALDINE MAIL ROUTE RD HOUSTON TX 77039","77039","High School"
"286","YOUNG WOMENS LEADERSHIP ACADEMY","19850 E HARDY RD HOUSTON TX 77073","77073","Middle-High School"
"287","LA PROMESA","11101 AIRLINE DR HOUSTON TX 77073","77073","High School"
"288","ALDINE MIDDLE","14908 ALDINE-WESTFIELD RD HOUSTON TX 77032","77032","Middle School"
"289","DREW ACADEMY","1910 W LITTLE YORK RD HOUSTON TX 77091","77091","Middle School"
"290","HAMBRICK MIDDLE","4600 ALDINE MAIL RT HOUSTON TX 77039","77039","Middle School"
"291","STOVALL MIDDLE","11201 AIRLINE DR HOUSTON TX 77037","77037","Middle School"
"292","TEAGUE MIDDLE","21700 RAYFORD RD HUMBLE TX 77338","77338","Middle School"
"293","HOFFMAN MIDDLE","6101 W LITTLE YORK RD HOUSTON TX 77091","77091","Middle School"
"294","SHOTWELL MIDDLE","6515 TRL VLY WAY HOUSTON TX 77086","77086","Middle School"
"295","GRANTHAM ACADEMY","13300 CHRISMAN RD HOUSTON TX 77039","77039","Middle School"
"296","PLUMMER MIDDLE","11429 SPEARS-GEARS RD HOUSTON TX 77067","77067","Middle School"
"297","LEWIS MIDDLE","21255 W HARDY RD HOUSTON TX 77073","77073","Middle School"
"298","GARCIA MIDDLE","11000 ROSSLYN RD HOUSTON TX 77038","77038","Middle School"
"299","JONES MIDDLE","20155 TOWNSEN BLVD HUMBLE TX 77338","77338","Middle School"
"300","MEAD MIDDLE","3500 LAUDER RD HOUSTON TX 77039","77039","Middle School"
"301","HOUSTON ACADEMY","8103 CARVER RD HOUSTON TX 77088","77088","Elementary-Middle School"
"302","IMPACT LEADERSHIP ACADEMY","3131 FALLBROOK HOUSTON TX 77038","77038","Elementary-Middle School"
"303","KNIPPEL EDUCATION CENTER","1702 ALDINE BENDER HOUSTON TX 77032","77032","Elementary-High School"
"304","HIGHPOINT","8003 E SAM HOUSTON PKWY N HOUSTON TX 77049","77049","Elementary-High School"
"305","ALDINE J J A E P","2525 MURWORTH DR HOUSTON TX 77054","77054","Elementary-High School"
"306","ANDERSON ACADEMY","7401 WHEATLEY ST HOUSTON TX 77088","77088","Elementary School"
"307","CARROLL EL","423 W GULFBANK HOUSTON TX 77037","77037","Elementary School"
"308","REECE ACADEMY","2223 ESTHER ST HOUSTON TX 77088","77088","Early Education"
"309","FRANCIS EL","6525 GREENS RD HUMBLE TX 77396","77396","Elementary School"
"310","GOODMAN EL","9325 DEER TRL DR HOUSTON TX 77088","77088","Elementary School"
"311","CARTER ACADEMY","3111 FALLBROOK DR HOUSTON TX 77038","77038","Elementary School"
"312","LANE SCHOOL","2001 ALDINE BENDER RD HOUSTON TX 77032","77032","K-12 School"
"313","WORSHAM EL","3007 HARTWICK RD HOUSTON TX 77093","77093","Elementary School"
"314","OLESON EL","12345 VICKERY ST HOUSTON TX 77039","77039","Elementary School"
"315","ORANGE GROVE EL","4514 MOUNT HOUSTON RD HOUSTON TX 77093","77093","Elementary School"
"316","RAYMOND EL","1605 CONNORVALE RD HOUSTON TX 77039","77039","Elementary School"
"317","SMITH EL","5815 W LITTLE YORK RD HOUSTON TX 77091","77091","Elementary School"
"318","ODOM EL","14701 HENRY RD HOUSTON TX 77060","77060","Elementary School"
"319","JOHNSON EL","13901 HOMESTEAD RD HUMBLE TX 77396","77396","Elementary School"
"320","THOMPSON EL","220 CASA GRANDE DR HOUSTON TX 77060","77060","Elementary School"
"321","SAMMONS EL","2301 FRICK RD HOUSTON TX 77038","77038","Elementary School"
"322","STEPHENS EL","2402 ALDINE MAIL ROUTE RD HOUSTON TX 77039","77039","Elementary School"
"323","ERMEL EL","7103 WOODSMAN TRL HOUSTON TX 77040","77040","Elementary School"
"324","CARMICHAEL EL","6902 SILVER STAR DR HOUSTON TX 77086","77086","Elementary School"
"325","CONLEY EL","3345 W GREENS RD HOUSTON TX 77066","77066","Elementary School"
"326","DUNN EL","2003 W W THORNE DR HOUSTON TX 77073","77073","Elementary School"
"327","GRAY EL","700 W RD HOUSTON TX 77038","77038","Elementary School"
"328","BLACK EL","160 MILLSTREAM HOUSTON TX 77060","77060","Elementary School"
"329","CALVERT EL","1925 MARVELL DR HOUSTON TX 77032","77032","Elementary School"
"330","HARRIS EL","3130 HOLDER FOREST DR HOUSTON TX 77088","77088","Elementary School"
"331","KUJAWA EL","7007 FALLBROOK DR HOUSTON TX 77086","77086","Elementary School"
"332","BUSSEY EL","11555 AIRLINE HOUSTON TX 77037","77037","Elementary School"
"333","SPENCE EL","1300 GEARS RD HOUSTON TX 77067","77067","Elementary School"
"334","JONES EL","7903 FOREST POINT DR HUMBLE TX 77338","77338","Elementary School"
"335","GREENSPOINT EL","18020 CHISOLM TRAIL HOUSTON TX 77060","77060","Elementary School"
"336","CYPRESSWOOD EL","6901 CYPRESSWOOD POINT AV HUMBLE TX 77338","77338","Elementary School"
"337","ECKERT EL","1430 ALDINE MEADOWS RD HOUSTON TX 77032","77032","Elementary School"
"338","ESCAMILLA EL","5241 E MT HOUSTON RD HOUSTON TX 77093","77093","Elementary School"
"339","STEHLIK EL","400 W RD HOUSTON TX 77038","77038","Elementary School"
"340","CARAWAY EL","3031 ELLINGTON ST HOUSTON TX 77088","77088","Elementary School"
"341","REED ACADEMY","1616 LAUDER RD HOUSTON TX 77039","77039","Elementary School"
"342","HILL EL","2625 W MOUNT HOUSTON HOUSTON TX 77038","77038","Elementary School"
"343","MARCELLA EL","16250 COTILLION DR HOUSTON TX 77060","77060","Elementary School"
"344","OGDEN EL","21919 RAYFORD RD HOUSTON TX 77338","77338","Elementary School"
"345","KEEBLE EC/PK/K","203 W GULFBANK RD HOUSTON TX 77037","77037","Early Education"
"346","HINOJOSA EC/PK/K","1620 LAUDER RD HOUSTON TX 77039","77039","Early Education"
"347","VINES EC/PK/K","7220 INWOOD PARK DR HOUSTON TX 77088","77088","Early Education"
"348","DE SANTIAGO EC/PK/K","1420 ALDINE MEADOWS HOUSTON TX 77032","77032","Early Education"
"349","GRIGGS EC/PK/K","801 REGIONAL PARK DR HOUSTON TX 77060","77060","Early Education"
"350","MAGRILL EC/PK/K","21701 RAYFORD RD HUMBLE TX 77338","77338","Early Education"
"351","GARCIA-LEZA EC/PK/K","5311 E MOUNT HOUSTON RD HOUSTON TX 77093","77093","Early Education"
"352","KUJAWA EC/PK/K","7111 FALLBROOK DR HOUSTON TX 77086","77086","Early Education"
"353","JONES EC/PK/K","8003 FOREST POINT DR HUMBLE TX 77338","77338","Early Education"
"354","VARDEMAN EC/PK/K","3302 CONNORVALE RD HOUSTON TX 77039","77039","Early Education"
"355","STOVALL EC/PK/K","3025 ELLINGTON ST HOUSTON TX 77088","77088","Early Education"
"356","HASTINGS H S","4410 COOK RD HOUSTON TX 77072","77072","High School"
"357","ELSIK H S","12601 HIGH STAR HOUSTON TX 77072","77072","High School"
"358","TAYLOR H S","7555 HOWELL SUGAR LAND RD HOUSTON TX 77083","77083","High School"
"359","ALIEF LEARNING CTR (6-12)","4427 BELLE PARK HOUSTON TX 77072","77072","Middle-High School"
"360","KERR H S","8150 SUGARLAND HOWELL HOUSTON TX 77083","77083","High School"
"361","CROSSROADS","12360 BEAR RAM RD HOUSTON TX 77072","77072","High School"
"362","ALIEF EARLY COLLEGE H S","2811 A HAYES RD HOUSTON TX 77082","77082","High School"
"363","ALIEF MIDDLE","4415 COOK RD HOUSTON TX 77072","77072","Middle School"
"364","OLLE MIDDLE","9200 BOONE RD HOUSTON TX 77099","77099","Middle School"
"365","KILLOUGH MIDDLE","7600 SYNOTT RD HOUSTON TX 77083","77083","Middle School"
"366","HOLUB MIDDLE","9515 S DAIRY ASHFORD HOUSTON TX 77099","77099","Middle School"
"367","ALBRIGHT MIDDLE","6315 WINKLEMAN HOUSTON TX 77083","77083","Middle School"
"368","O'DONNELL MIDDLE","14041 ALIEF CLODINE HOUSTON TX 77082","77082","Middle School"
"369","ALIEF ISD J J A E P","2525 MURWORTH HOUSTON TX 77054","77054","Elementary-High School"
"370","YOUENS EL","12141 HIGH STAR HOUSTON TX 77072","77072","Elementary School"
"371","BOONE EL","11400 BISSONNET HOUSTON TX 77099","77099","Elementary School"
"372","MARTIN EL","11718 HENDON HOUSTON TX 77072","77072","Elementary School"
"373","CHAMBERS EL","10700 CARVEL HOUSTON TX 77072","77072","Elementary School"
"374","SMITH EL","11300 STANCLIFF HOUSTON TX 77099","77099","Elementary School"
"375","MAHANAY EL","13215 HIGH STAR HOUSTON TX 77083","77083","Elementary School"
"376","KENNEDY EL","10200 HUNTINGTON PL DR HOUSTON TX 77099","77099","Elementary School"
"377","CHANCELLOR EL","4350 BOONE RD HOUSTON TX 77072","77072","Elementary School"
"378","LIESTMAN EL","7610 SYNOTT RD HOUSTON TX 77083","77083","Elementary School"
"379","PETROSKY EL","6703 WINKLEMAN HOUSTON TX 77083","77083","Elementary School"
"380","HEFLIN EL","3303 SYNOTT RD HOUSTON TX 77082","77082","Elementary School"
"381","CUMMINGS EL","10455 S KIRKWOOD HOUSTON TX 77099","77099","Elementary School"
"382","REES EL","16305 KENSLEY HOUSTON TX 77082","77082","Elementary School"
"383","ALEXANDER EL","8500 BROOKWULF HOUSTON TX 77099","77099","Elementary School"
"384","HEARNE EL","13939 RIO BONITO HOUSTON TX 77083","77083","Elementary School"
"385","LANDIS EL","10255 SPICE LN HOUSTON TX 77072","77072","Elementary School"
"386","SNEED EL","9855 PAGEWOOD LN HOUSTON TX 77042","77042","Elementary School"
"387","BEST EL","10000 CENTRE PKWY HOUSTON TX 77036","77036","Elementary School"
"388","OUTLEY EL","12355 RICHMOND AVE HOUSTON TX 77082","77082","Elementary School"
"389","HICKS EL","8520 HEMLOCK HILL DR HOUSTON TX 77083","77083","Elementary School"
"390","BUSH EL","9730 STROUD DR HOUSTON TX 77036","77036","Elementary School"
"391","COLLINS EL","9829 TOWN PARK DR HOUSTON TX 77036","77036","Elementary School"
"392","HORN EL","10734 BISSONETT HOUSTON TX 77099","77099","Elementary School"
"393","HOLMQUIST EL","15040 WESTPARK DR HOUSTON TX 77082","77082","Elementary School"
"394","MARIA DEL CARMEN MARTINEZ EARLY LEARNING CENTER","10807 BOONE LOOP RD HOUSTON TX 77099","77099","Early Education"
"395","DEDRE' & ELLA JEFFERSON EARLY LEARNING CENTER","14061 BELLAIRE BLVD HOUSTON TX 77083","77083","Early Education"
"396","OWENS INT","6900 TURTLEWOOD HOUSTON TX 77072","77072","Elementary-Middle School"
"397","KLENTZMAN INT","11100 STANCLIFF HOUSTON TX 77099","77099","Elementary-Middle School"
"398","YOUNGBLOOD INT","8410 DAIRY VIEW LN HOUSTON TX 77072","77072","Elementary-Middle School"
"399","MATA INT","9225 S DAIRY ASHFORD HOUSTON TX 77099","77099","Elementary-Middle School"
"400","MILLER INT","15025 WESTPARK HOUSTON TX 77082","77082","Elementary-Middle School"
"401","BUDEWIG INT","12570 RICHMOND HOUSTON TX 77082","77082","Elementary-Middle School"
"402","ADMIN SERVICES","4250 COOK RD HOUSTON TX 77072","77072","K-12 School"
"403","ALIEF LEARNING CTR (K-6)","4427 BELLE PARK HOUSTON TX 77072","77072","Elementary-Middle School"
"404","CHANNELVIEW H S","1100 SHELDON RD CHANNELVIEW TX 77530","77530","High School"
"405","ENDEAVOR HS-JOE FRANK CAMPBELL LEARNING CENTER","915 SHELDON RD CHANNELVIEW TX 77530","77530","Middle-High School"
"406","JJAEP DISCIPLINARY SCHOOL","2525 MURWORTH HOUSTON TX 77054","77054","Elementary-High School"
"407","ALICE JOHNSON J H","15500 PROCTOR CHANNELVIEW TX 77530","77530","Middle School"
"408","B H HAMBLEN EL","1019 DELL DALE ST CHANNELVIEW TX 77530","77530","Elementary School"
"409","AGUIRRE J H","15726 WALLISVILLE RD HOUSTON TX 77049","77049","Middle School"
"410","DE ZAVALA EL","910 DEER PASS CHANNELVIEW TX 77530","77530","Elementary School"
"411","MCGHEE EL","1045 SHELDON RD CHANNELVIEW TX 77530","77530","Elementary School"
"412","MCMULLAN EL","1290 DELL DALE ST CHANNELVIEW TX 77530","77530","Elementary School"
"413","CRENSHAW EL","16204 WOOD DR CHANNELVIEW TX 77530","77530","Elementary School"
"414","HARVEY S BROWN EL","16550 WALLISVILLE RD HOUSTON TX 77049","77049","Elementary School"
"415","EARLY CHILDHOOD CENTER","911 SHELDON RD CHANNELVIEW TX 77530","77530","Early Education"
"416","CROSBY H S","333 RED SUMMIT DR CROSBY TX 77532","77532","High School"
"417","HC JJAEP - EXCEL ACADEMY","2525 MURWORTH HOUSTON TX 77054","77054","Elementary-High School"
"418","CROSBY CROSSROADS ACADEMY","333 RED SUMMIT DR CROSBY TX 77532","77532","High School"
"419","CROSBY MIDDLE","14703 FM 2100 CROSBY TX 77532","77532","Middle School"
"420","NEWPORT EL","430 N DIAMONDHEAD BLVD CROSBY TX 77532","77532","Elementary School"
"421","CROSBY KINDERGARTEN CENTER","805 RUNNEBURG CROSBY TX 77532","77532","Early Education"
"422","BARRETT EL","815 FM 1942 CROSBY TX 77532","77532","Elementary School"
"423","DREW EL","223 RED OAK CROSBY TX 77532","77532","Elementary School"
"424","HIGHPOINT SCHOOL EAST (CROSBY)","8003 E SAM HOUSTON PKWY HOUSTON TX 77049","77049","Middle-High School"
"425","CROSBY EL","14705 FM 2100 CROSBY TX 77532","77532","Elementary School"
"426","CY-FAIR H S","22602 HEMPSTEAD HWY CYPRESS TX 77429","77429","High School"
"427","JERSEY VILLAGE H S","7600 SOLOMON ST HOUSTON TX 77040","77040","High School"
"428","CYPRESS CREEK H S","9815 GRANT RD HOUSTON TX 77070","77070","High School"
"429","LANGHAM CREEK H S","17610 FM 529 HOUSTON TX 77095","77095","High School"
"430","ALTERNATIVE LEARNING CTR-EAST","12508 WINDFERN HOUSTON TX 77064","77064","Middle-High School"
"431","CYPRESS FALLS H S","9811 HUFFMEISTER RD HOUSTON TX 77095","77095","High School"
"432","CYPRESS SPRINGS H S","7909 FRY RD CYPRESS TX 77433","77433","High School"
"433","CYPRESS RIDGE H S","7900 N ELDRIDGE PKWY HOUSTON TX 77041","77041","High School"
"434","CYPRESS WOODS H S","13550 WOODS SPILLANE BLVD CYPRESS TX 77429","77429","High School"
"435","CYPRESS RANCH H S","10700 FRY RD CYPRESS TX 77433","77433","High School"
"436","CYPRESS LAKES H S","5750 GREENHOUSE RD KATY TX 77449","77449","High School"
"437","ALTERNATIVE LEARNING CTR - WEST","19350 REBEL YELL KATY TX 77449","77449","Middle-High School"
"438","CYPRESS PARK H S","7425 WESTGREEN BLVD CYPRESS TX 77433","77433","High School"
"439","BRIDGELAND H S","10707 MASON RD CYPRESS TX 77433","77433","High School"
"440","CYPRESS-FAIRBANKS J J A E P","10494 JONES RD HOUSTON TX 77065","77065","Middle-High School"
"441","ARNOLD MIDDLE","11111 TELGE RD CYPRESS TX 77429","77429","Middle School"
"442","DEAN MIDDLE","14104 REO ST HOUSTON TX 77040","77040","Middle School"
"443","BLEYL MIDDLE","10800 MILLS RD HOUSTON TX 77070","77070","Middle School"
"444","CAMPBELL MIDDLE","11415 BOBCAT DR HOUSTON TX 77064","77064","Middle School"
"445","WATKINS MIDDLE","4800 CAIRNVILLAGE ST HOUSTON TX 77084","77084","Middle School"
"446","LABAY MIDDLE","15435 WILLOW RIVER DR HOUSTON TX 77095","77095","Middle School"
"447","COOK MIDDLE","9111 WHEATLAND DR HOUSTON TX 77064","77064","Middle School"
"448","TRUITT MIDDLE","6600 ADDICKS SATSUMA RD HOUSTON TX 77084","77084","Middle School"
"449","HAMILTON MIDDLE","12330 KLUGE RD CYPRESS TX 77429","77429","Middle School"
"450","THORNTON MIDDLE","19802 KIETH HARROW BLVD KATY TX 77449","77449","Middle School"
"451","ARAGON MIDDLE","16823 W RD HOUSTON TX 77095","77095","Middle School"
"452","GOODSON MIDDLE","17333 HUFFMEISTER CYPRESS TX 77429","77429","Middle School"
"453","KAHLA MIDDLE","16212 W LITTLE YORK HOUSTON TX 77084","77084","Middle School"
"454","SPILLANE MIDDLE","13403 WOODS SPILLANE BLVD CYPRESS TX 77429","77429","Middle School"
"455","HOPPER MIDDLE","7811 FRY RD CYPRESS TX 77433","77433","Middle School"
"456","SMITH MIDDLE","10300 WARNER SMITH BLVD CYPRESS TX 77433","77433","Middle School"
"457","SALYARDS MIDDLE","21757 FAIRFIELD PLACE CYPRESS TX 77433","77433","Middle School"
"458","ANTHONY MIDDLE","10215 GREENHOUSE RD CYRESS TX 77433","77433","Middle School"
"459","ROWE MIDDLE","7611 WESTGREEN BLVD CYPRESS TX 77433","77433","Middle School"
"460","SPRAGUE MIDDLE","10611 MASON RD CYPRESS TX 77433","77433","Middle School"
"461","BANE EL","5805 KAISER ST HOUSTON TX 77040","77040","Elementary School"
"462","LAMKIN EL","11521 TELGE RD CYPRESS TX 77429","77429","Elementary School"
"463","POST EL","7600 EQUADOR ST HOUSTON TX 77040","77040","Elementary School"
"464","MATZKE EL","13102 JONES RD HOUSTON TX 77070","77070","Elementary School"
"465","HOLBROOK EL","6402 LANGFIELD RD HOUSTON TX 77092","77092","Elementary School"
"466","ADAM EL","11303 HONEYGROVE LN HOUSTON TX 77065","77065","Elementary School"
"467","HANCOCK EL","13801 SCHROEDER RD HOUSTON TX 77070","77070","Elementary School"
"468","YEAGER EL","13615 CHAMPION FOREST DR HOUSTON TX 77069","77069","Elementary School"
"469","MILLSAP EL","12424 HUFFMEISTER RD CYPRESS TX 77429","77429","Elementary School"
"470","LIEDER EL","17003 KIETH HARROW BLVD HOUSTON TX 77084","77084","Elementary School"
"471","FRANCONE EL","11250 PERRY RD HOUSTON TX 77064","77064","Elementary School"
"472","HORNE EL","14950 W LITTLE YORK RD HOUSTON TX 77084","77084","Elementary School"
"473","MOORE EL","13734 LAKEWOOD FOREST DR HOUSTON TX 77070","77070","Elementary School"
"474","LOWERY EL","15950 RDG PARK DR HOUSTON TX 77095","77095","Elementary School"
"475","FRAZIER EL","8300 LITTLE RIVER RD HOUSTON TX 77064","77064","Elementary School"
"476","WILSON EL","18015 KIETH HARROW BLVD HOUSTON TX 77084","77084","Elementary School"
"477","OWENS EL","7939 JACKRABBIT RD HOUSTON TX 77095","77095","Elementary School"
"478","EMMOTT EL","11750 STEEPLEWAY BLVD HOUSTON TX 77065","77065","Elementary School"
"479","HOLMSLEY EL","7315 HUDSON OAKS DR HOUSTON TX 77095","77095","Elementary School"
"480","JOWELL EL","6355 GREENHOUSE RD KATY TX 77449","77449","Elementary School"
"481","FIEST EL","8425 PINE FALLS HOUSTON TX 77095","77095","Elementary School"
"482","BANG EL","8900 RIO GRANDE HOUSTON TX 77064","77064","Elementary School"
"483","HAMILTON EL","12050 KLUGE CYPRESS TX 77429","77429","Elementary School"
"484","METCALF EL","6100 QUEENSTON HOUSTON TX 77084","77084","Elementary School"
"485","HAIRGROVE EL","7120 N ELDRIDGE PKWY HOUSTON TX 77041","77041","Elementary School"
"486","REED EL","8700 TAMI RENEE LN HOUSTON TX 77040","77040","Elementary School"
"487","COPELAND EL","18018 FOREST HTS DR HOUSTON TX 77095","77095","Elementary School"
"488","WILLBERN EL","10811 GOODSPRING DR HOUSTON TX 77064","77064","Elementary School"
"489","SHERIDAN EL","19790 KIETH HARROW BLVD KATY TX 77449","77449","Elementary School"
"490","AULT EL","21010 MAPLE VILLAGE DR CYPRESS TX 77429","77429","Elementary School"
"491","KIRK EL","12421 TANNER RD HOUSTON TX 77041","77041","Elementary School"
"492","FARNEY EL","14425 BARKER CYPRESS HOUSTON TX 77429","77429","Elementary School"
"493","GLEASON EL","9203 WILLOWBRIDGE PARK BLVD HOUSTON TX 77064","77064","Elementary School"
"494","WALKER EL","6424 SETTLERS VILLAGE KATY TX 77449","77449","Elementary School"
"495","SAMPSON EL","16002 COLES CROSSING DR CYPRESS TX 77429","77429","Elementary School"
"496","BIRKES EL","8500 QUEENSTON BLVD HOUSTON TX 77095","77095","Elementary School"
"497","ROBISON EL","17100 ROBISON WOODS RD CYPRESS TX 77429","77429","Elementary School"
"498","TIPPS EL","5611 QUEENSTON BLVD HOUSTON TX 77084","77084","Elementary School"
"499","DURYEA EL","20150 ARBOR CREEK DR KATY TX 77449","77449","Elementary School"
"500","KEITH EL","20550 FAIRFIELD GREEN CYPRESS TX 77433","77433","Elementary School"
"501","LEE EL","12900 W LITTLE YORK RD HOUSTON TX 77041","77041","Elementary School"
"502","DANISH EL","11850 FALLBROOK DR HOUSTON TX 77065","77065","Elementary School"
"503","ANDRE EL","8111 FRY RD CYPRESS TX 77433","77433","Elementary School"
"504","POSTMA EL","18425 W RD CYPRESS TX 77433","77433","Elementary School"
"505","BLACK EL","14155 GRANT RD CYPRESS TX 77429","77429","Elementary School"
"506","WARNER EL","10400 WARNER SMITH BLVD CYPRESS TX 77433","77433","Elementary School"
"507","MCFEE EL","19315 PLANTATION COVE LN KATY TX 77449","77449","Elementary School"
"508","HEMMENWAY EL","20400 W LITTLE YORK KATY TX 77449","77449","Elementary School"
"509","ROBINSON EL","4321 WESTFIELD VILLAGE DR KATY TX 77449","77449","Elementary School"
"510","SWENKE EL","22400 FAIRFIELD PLACE DR CYPRESS TX 77433","77433","Elementary School"
"511","EMERY EL","19636 PLANTATION MYRTLES DR KATY TX 77449","77449","Elementary School"
"512","RENNELL EL","19500 TUCKERTON BLVD CYPRESS TX 77433","77433","Elementary School"
"513","POPE EL","19019 N BRIDGELAND LAKE PKWY CYPRESS TX 77433","77433","Elementary School"
"514","WOODARD EL","17501 CYPRESS N HOUSTON RD CYPRESS TX 77433","77433","Elementary School"
"515","WELLS EL","10607 MASON RD CYPRESS TX 77433","77433","Elementary School"
"516","HOOVER EL","6425 GREENHOUSE RD KATY TX 77449","77449","Elementary School"
"517","MCGOWN EL","21211 TUCKERTON RD CYPRESS TX 77433","77433","Elementary School"
"518","BROSNAHAN EL","20220 CLAY RD KATY TX 77449","77449","Elementary School"
"519","NEW EL","20002 W RD CYPRESS TX 77433","77433","Elementary School"
"520","DEER PARK H S","710 W SAN AUGUSTINE DEER PARK TX 77536","77536","High School"
"521","HARRIS CO J J A E P","203 IVY DEER PARK TX 77536","77536","Middle-High School"
"522","H S POINT","301 W P ST DEER PARK TX 77536","77536","Middle-High School"
"523","DEEPWATER J H","501 GLENMORE PASADENA TX 77503","77503","Middle School"
"524","DEER PARK J H","410 E NINTH DEER PARK TX 77536","77536","Middle School"
"525","BONNETTE J H","5010 PASADENA BLVD DEER PARK TX 77536","77536","Middle School"
"526","CARPENTER EL","5002 PASADENA BLVD DEER PARK TX 77536","77536","Elementary School"
"527","DEEPWATER EL","309 GLENMORE PASADENA TX 77503","77503","Elementary School"
"528","SAN JACINTO EL","1302 E THIRTEENTH ST DEER PARK TX 77536","77536","Elementary School"
"529","DEER PARK EL","2920 LUELLA DEER PARK TX 77536","77536","Elementary School"
"530","PARKWOOD EL","404 PARKWOOD PASADENA TX 77503","77503","Elementary School"
"531","JP DABBS EL","302 E LAMBUTH DEER PARK TX 77536","77536","Elementary School"
"532","EARLY CHILDHOOD CENTER","401 GLENMORE PASADENA TX 77503","77503","Early Education"
"533","GALENA PARK H S","1000 KEENE GALENA PARK TX 77547","77547","High School"
"534","NORTH SHORE SENIOR HIGH","353 N CASTLEGORY HOUSTON TX 77049","77049","High School"
"535","HIGHPOINT SCHOOL EAST (DAEP)","8003 E SAM HOUSTON PKWY N HY 90 HOUSTON TX 77049","77049","Middle-High School"
"536","JUVENILE JUSTICE AEP","2525 MURWORTH HOUSTON TX 77054","77054","Elementary-High School"
"537","GALENA PARK ISD CAREER & TECHNICAL ECHS","5800 UVALDE HOUSTON TX 77049","77049","High School"
"538","GALENA PARK MIDDLE","400 KEENE GALENA PARK TX 77547","77547","Middle School"
"539","NORTH SHORE MIDDLE","120 CASTLEGORY HOUSTON TX 77015","77015","Middle School"
"540","WOODLAND ACRES MIDDLE","12947 MYRTLE LN HOUSTON TX 77015","77015","Middle School"
"541","CUNNINGHAM MIDDLE","14110 WALLISVILLE RD HOUSTON TX 77049","77049","Middle School"
"542","COBB 6TH GRADE CAMPUS","6722 UVALDE HOUSTON TX 77049","77049","Middle School"
"543","CIMARRON EL","816 CIMARRON HOUSTON TX 77015","77015","Elementary School"
"544","CLOVERLEAF EL","1035 FRANKIE HOUSTON TX 77015","77015","Elementary School"
"545","GALENA PARK EL","401 N MAIN GALENA PARK TX 77547","77547","Elementary School"
"546","GREEN VALLEY EL","13350 WOODFOREST BLVD HOUSTON TX 77015","77015","Elementary School"
"547","JACINTO CITY EL","10910 WIGGINS HOUSTON TX 77029","77029","Elementary School"
"548","MACARTHUR EL","1801 N MAIN GALENA PARK TX 77547","77547","Elementary School"
"549","NORTH SHORE EL","14310 DUNCANNON HOUSTON TX 77015","77015","Elementary School"
"550","PYBURN EL","12302 COULSON HOUSTON TX 77015","77015","Elementary School"
"551","WOODLAND ACRES EL","12936 SARAH LN HOUSTON TX 77015","77015","Elementary School"
"552","TICE EL","14120 WALLISVILLE HOUSTON TX 77049","77049","Elementary School"
"553","PURPLE SAGE EL","6500 PURPLE SAGE BLVD HOUSTON TX 77049","77049","Elementary School"
"554","JAMES B HAVARD EL","15150 WALLISVILLE RD HOUSTON TX 77049","77049","Elementary School"
